text,reason,label
this is an amazing app for online classes!but,good quality of sound,1.0
very practical and easy to use,want notifications for updates,1.0
this app is very good for video conferencing.,updating app gone wrong,1.0
i can not download this zoom app,want to translate turkish language,1.0
i am not able to download this app,want to load profile page from hamburger menu,1.0
zoom is not working properly,unable to update app,1.0
zoom is an excellent meeting app.,good for group communication,1.0
i am not getting the virtual background option in the settings,sound of the rules cannot be heard,1.0
video quality is very poor,want to use virtual background filter,1.0
i am unable to sign-in,video quality has improved significantly,1.0
zoom does not update me anymore,want to launch zoom without taping to a link,1.0
the app does not install,easy to connect,1.0
best app for video calling and office meeting and online classes,unable to load videos in my stuff list,1.0
i can not connect to my meeting.,want to change user image,1.0
my audio is not working please fix this problem,want to download memory,1.0
use google meet instead.,good for connecting to classes,1.0
i found a problem it sometimes would not work password,want to change the language,1.0
will not let me sign up.,want auto play next episode option,1.0
zoom is a very very bad app because there are,want to connect to netwrk,1.0
i can not edit my profile picture,want to see ads while in use,1.0
"because of this, i can not sign in to zoom.",app update takes forever,1.0
will not let me even install it,payment method is difficult,1.0
this app will help me to study in lockdown,zoom is amazing,1.0
it is nice and good but am having some network issues with this app,screen sharing is lagging,1.0
i can not join my class right now.,unable to use with jio tv,1.0
zoom would not let me connect,want filters from instagram,1.0
the sound is bad.,chat room experience is good,1.0
please add ukrainian language support.,unable to use disney app on samsung tv,1.0
please fix the audio connect issue,sound went out and the video froze,1.0
this app is not opening.,want to access western ukraine,1.0
my microphone is not working.,unable to load due to error,1.0
I would like you to be able to set the background on android,app keeps auto closing,1.0
let us just admit that skype is better.,unable to sync watched episodes on chromecast,1.0
best cloud meeting app,good for table management,1.0
this is worst app this has a lot network issue does not work well,app hangs sometimes,1.0
i can not join my zoom meeting please check my problem,want croatian language subtitles,1.0
i can not install the app in my phone,want to update,1.0
i can not change my background when I am using my phone,app service is better than netflix,1.0
I am trying to register - an error.,app keeps loading indefinitely,1.0
it takes a long time to install,camera cannot be turned on separately from microphone,1.0
it is great for making video calls,want to get back to meetings after losing audio and visual,1.0
i can not open my zoom,netflix ui is better,1.0
"""you are not eligible to sign up for zoom at this time""",sound connection is poor,1.0
the application crashes frequently.,want to open confib,1.0
it takes too long to get updated!,want to see files in chat,1.0
very bad app i can not even sign in,want to leave class,1.0
best app for meetings & webinar,receiving approval error,1.0
then it does not let meetings in and it comes out that the password is incorrect,good for watching star wars and marvel movies,1.0
worst app .. can not join a meeting .,unable to play videos,1.0
why is there no background settings on android?,unable to load the episodes list,1.0
you can not register on zoom,want to know password,1.0
very good working tool,good for streaming,1.0
add background feature for some mobile,want subtitles translation in english,1.0
"i uninstalled it and tried to install it again, but i could not.",app is not working on iphone,1.0
"lately, my audio will not play through my headphones connected via bluetooth.",app has server problem,1.0
how can i update the zoom app?,want to add playback sessions,1.0
easy to find and install,want to configure anything,1.0
i can not create meetings,good for groups,1.0
excellent app helps to connect people,good app for conducting video calls,1.0
"the app is very bad, it is not convenient to use",app is not loading,1.0
it says passcode incorrect,sharing videos is easy to use,1.0
i can not hear the voice,facing compatibility issues with the app,1.0
"the picture quality is good, and the sound is very good",data and memory consumption is high,1.0
i can not open an account.,facing issues after latest update,1.0
very very good zoomapp,hulu has become bad,1.0
